,Neighborhood,Exter Qual,Kitchen Qual,Garage Qual,Fireplace Qu,Bsmt Qual,Heating QC,Garage Finish,Overall Qual,House Style
59,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,9,2Story
60,NoRidge,Gd,Gd,TA,TA,Ex,Ex,Fin,8,2Story
61,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,7,1Story
62,NoRidge,Gd,Gd,TA,TA,Ex,Ex,RFn,8,2Story
63,NoRidge,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,2Story
65,NoRidge,Gd,Gd,TA,Ex,Gd,Ex,Fin,8,1.5Fin
66,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
70,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,2Story
71,Somerst,Gd,Gd,TA,Gd,Ex,Ex,Fin,6,1Story
74,SawyerW,Gd,Gd,TA,Fa,Gd,Ex,RFn,7,2Story
75,SawyerW,TA,TA,TA,TA,Gd,TA,RFn,6,1Story
76,SawyerW,Gd,Gd,TA,TA,Gd,Ex,RFn,6,2Story
77,SawyerW,TA,TA,TA,TA,Gd,TA,Unf,6,1Story
81,SawyerW,TA,TA,TA,TA,Gd,TA,Unf,6,2Story
85,Sawyer,TA,TA,TA,Gd,TA,Ex,Unf,5,1Story
89,Sawyer,TA,TA,TA,Fa,TA,Ex,Fin,6,1Story
90,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
91,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
92,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
93,Somerst,Gd,Gd,TA,Gd,Ex,Ex,Fin,7,1Story
99,Somerst,Ex,Gd,TA,Gd,Ex,Ex,Fin,7,1Story
104,Somerst,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
105,Somerst,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
106,Greens,Gd,Gd,TA,TA,Gd,TA,Fin,8,1Story
107,Greens,Gd,Gd,TA,TA,Gd,TA,Fin,8,1Story
109,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
111,NWAmes,TA,Gd,TA,TA,Gd,Ex,Unf,6,2Story
112,NWAmes,TA,Gd,TA,TA,TA,Gd,RFn,6,1Story
113,NWAmes,TA,TA,TA,TA,Gd,TA,RFn,6,1.5Fin
114,NWAmes,TA,TA,TA,TA,Gd,TA,Unf,7,2Story
115,NWAmes,TA,Gd,TA,TA,TA,TA,RFn,6,1Story
118,NWAmes,TA,TA,TA,Gd,TA,TA,Unf,6,1Story
123,NAmes,TA,TA,TA,Gd,TA,TA,RFn,5,SLvl
127,NAmes,Gd,TA,TA,Gd,TA,Gd,Unf,5,1.5Fin
128,NAmes,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
132,NAmes,TA,TA,TA,Gd,TA,Ex,RFn,6,SLvl
133,NAmes,TA,TA,TA,Gd,TA,Gd,Fin,5,1Story
134,NAmes,TA,Gd,TA,Gd,TA,Gd,Unf,6,SFoyer
136,NAmes,TA,TA,TA,Gd,Gd,TA,RFn,7,1Story
137,NAmes,Gd,Gd,TA,Gd,TA,Ex,Fin,6,1Story
141,NAmes,TA,Gd,TA,Gd,TA,Gd,RFn,5,1Story
145,NAmes,TA,TA,TA,Gd,TA,TA,Unf,5,1Story
147,NAmes,TA,TA,TA,Gd,TA,Ex,Unf,6,1Story
157,NAmes,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
159,NAmes,TA,Gd,TA,Gd,TA,Ex,Fin,5,1Story
160,NAmes,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,SLvl
167,NAmes,TA,TA,TA,TA,TA,TA,RFn,6,1Story
168,NAmes,TA,TA,TA,TA,TA,TA,Unf,6,2Story
169,OldTown,TA,TA,TA,Gd,TA,TA,Unf,4,1.5Fin
172,OldTown,TA,TA,TA,Gd,TA,Gd,Unf,5,1Story
176,OldTown,TA,Gd,TA,Gd,TA,TA,Unf,5,1Story
179,OldTown,TA,Gd,TA,Gd,TA,Ex,Unf,5,1.5Fin
181,OldTown,TA,TA,Fa,Gd,Fa,TA,Unf,2,1Story
192,BrkSide,TA,Gd,TA,Gd,Gd,TA,Unf,7,2.5Unf
195,BrkSide,TA,TA,TA,Gd,TA,Ex,Unf,6,1.5Fin
196,BrkSide,TA,Gd,TA,Fa,TA,TA,Unf,5,1.5Fin
199,BrkSide,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
200,OldTown,TA,TA,TA,Gd,Fa,TA,Unf,6,1Story
202,OldTown,TA,TA,TA,TA,TA,Ex,Unf,4,1.5Fin
207,OldTown,TA,Gd,TA,Po,Gd,Gd,Unf,5,2Story
208,ClearCr,TA,TA,TA,TA,TA,Ex,Unf,7,2Story
209,ClearCr,TA,TA,TA,Gd,Gd,Gd,Unf,5,1Story
214,SWISU,TA,TA,TA,Gd,TA,Gd,Unf,5,1.5Fin
219,Sawyer,TA,TA,TA,Gd,Gd,TA,Unf,5,1Story
220,Sawyer,TA,TA,TA,Fa,TA,TA,Unf,5,1Story
221,Sawyer,TA,Gd,TA,TA,TA,Ex,Unf,5,1Story
225,Sawyer,TA,TA,TA,TA,Gd,TA,Fin,5,SFoyer
226,Sawyer,TA,TA,TA,TA,TA,Ex,Unf,5,2Story
227,Sawyer,TA,TA,TA,TA,TA,TA,Fin,6,2Story
229,ClearCr,Gd,TA,TA,TA,Gd,Gd,RFn,7,1Story
232,ClearCr,Gd,Gd,TA,TA,Gd,TA,Fin,7,1Story
233,ClearCr,TA,Gd,TA,TA,Gd,Ex,Fin,6,2Story
234,Edwards,TA,Fa,TA,Gd,TA,TA,RFn,3,1.5Fin
236,Edwards,TA,Gd,TA,TA,TA,Ex,Unf,6,1Story
238,Edwards,TA,TA,Fa,TA,TA,Ex,Unf,4,1.5Fin
241,Edwards,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
244,SawyerW,Gd,Gd,TA,TA,Gd,TA,Fin,6,2Story
245,SawyerW,Gd,Gd,Gd,TA,Gd,Ex,RFn,7,1Story
246,SawyerW,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,2Story
247,SawyerW,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
253,SawyerW,TA,Gd,TA,TA,Gd,Gd,Unf,7,2Story
257,CollgCr,TA,TA,TA,TA,Gd,Ex,RFn,7,2Story
263,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
264,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,8,1Story
265,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
266,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
270,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
278,Edwards,TA,TA,TA,Fa,TA,TA,Unf,6,SLvl
279,Edwards,TA,TA,TA,TA,TA,TA,Unf,6,SLvl
282,Edwards,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
284,Edwards,TA,TA,TA,Gd,TA,Ex,Unf,5,1Story
285,SWISU,TA,Fa,TA,Gd,TA,Fa,Unf,5,1Story
288,SWISU,TA,Gd,TA,Gd,TA,TA,Unf,5,1.5Fin
289,SWISU,TA,TA,TA,Gd,TA,TA,Unf,6,1Story
292,SWISU,TA,Gd,TA,Gd,TA,Ex,Unf,6,1.5Fin
293,Crawfor,Gd,TA,TA,TA,Gd,Ex,Unf,7,1.5Fin
295,Crawfor,Ex,Gd,TA,Gd,TA,Ex,RFn,7,2Story
296,Crawfor,Gd,Ex,TA,TA,Gd,TA,Fin,7,1Story
298,Blueste,Gd,Gd,TA,TA,Gd,Gd,Fin,8,1Story
299,Blueste,Gd,Gd,TA,TA,Gd,Gd,Unf,8,1Story
300,Crawfor,TA,TA,TA,TA,TA,TA,Fin,7,1Story
308,Crawfor,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
309,Mitchel,Gd,Gd,TA,TA,Gd,Ex,Unf,8,2Story
310,Mitchel,TA,Gd,TA,Fa,TA,TA,Unf,6,SLvl
314,Timber,TA,TA,TA,TA,TA,TA,Unf,5,1Story
315,Timber,Gd,Gd,TA,TA,Gd,Ex,Fin,7,1Story
318,Timber,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
319,Timber,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
321,Timber,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
322,Mitchel,TA,TA,TA,TA,TA,TA,Unf,5,1Story
325,Mitchel,TA,TA,TA,Gd,Gd,Ex,Unf,5,1Story
327,MeadowV,TA,TA,TA,Po,Gd,Ex,RFn,5,1Story
339,Mitchel,Gd,Gd,TA,TA,Gd,Ex,Unf,8,1Story
340,Mitchel,Gd,Gd,TA,Fa,Gd,Ex,Fin,6,2Story
342,NAmes,TA,TA,TA,Gd,TA,TA,RFn,6,1Story
343,NAmes,Gd,Ex,TA,TA,Gd,Gd,Fin,8,SLvl
344,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,6,2Story
345,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,2Story
346,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,7,SLvl
347,Gilbert,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
348,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,7,SLvl
349,StoneBr,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
350,StoneBr,Gd,Ex,TA,Ex,Gd,Ex,Fin,8,1Story
353,Gilbert,Gd,TA,TA,TA,Gd,Gd,Fin,7,SLvl
354,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,7,2Story
355,Gilbert,Gd,TA,TA,TA,Gd,Gd,Fin,6,2Story
356,Gilbert,Gd,TA,TA,TA,Gd,Gd,RFn,6,2Story
357,Gilbert,Ex,TA,TA,TA,Gd,Gd,Fin,6,2Story
358,Gilbert,TA,Gd,TA,TA,Gd,Gd,Fin,6,2Story
359,Gilbert,TA,Gd,TA,TA,Gd,Ex,Unf,6,1Story
360,Gilbert,TA,TA,TA,TA,Gd,Gd,RFn,6,2Story
361,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
363,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
365,StoneBr,Gd,Gd,TA,Ex,Gd,Gd,RFn,8,1Story
366,StoneBr,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
367,StoneBr,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
368,StoneBr,Gd,Gd,TA,Gd,Ex,Ex,Fin,7,1Story
369,Gilbert,TA,TA,TA,TA,Gd,Ex,Unf,5,2Story
370,NWAmes,Gd,Ex,TA,TA,Gd,TA,RFn,7,2Story
371,NWAmes,TA,TA,TA,TA,Gd,TA,Unf,6,1Story
372,NWAmes,TA,TA,TA,TA,TA,TA,Fin,7,1Story
373,NWAmes,Gd,Gd,TA,TA,Gd,Gd,Fin,6,1Story
374,NWAmes,TA,Gd,TA,TA,Gd,TA,RFn,7,2Story
375,NWAmes,TA,TA,TA,TA,TA,TA,RFn,6,1Story
376,NWAmes,TA,Gd,TA,TA,Gd,TA,RFn,7,2Story
377,NWAmes,TA,TA,TA,TA,Gd,TA,Unf,7,SLvl
378,NWAmes,TA,TA,TA,TA,TA,Gd,Fin,6,1Story
379,NWAmes,Gd,Gd,TA,Gd,Gd,TA,Fin,8,1Story
380,NWAmes,TA,TA,TA,TA,Gd,TA,RFn,7,1Story
381,NWAmes,TA,TA,TA,TA,Gd,TA,RFn,7,1Story
382,NWAmes,TA,Gd,TA,TA,TA,Ex,Unf,5,2Story
383,Somerst,Gd,Ex,TA,Ex,Gd,Ex,RFn,7,2Story
385,Somerst,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
386,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
387,NWAmes,TA,TA,TA,Fa,Gd,TA,RFn,5,1Story
388,NWAmes,TA,TA,TA,TA,TA,Ex,RFn,6,1Story
389,NWAmes,TA,TA,TA,TA,TA,Fa,Unf,7,1Story
390,NWAmes,TA,TA,TA,TA,Gd,TA,RFn,6,1Story
391,NWAmes,TA,TA,TA,TA,TA,TA,RFn,6,SLvl
409,NPkVill,TA,TA,TA,TA,Gd,TA,RFn,6,2Story
410,NPkVill,TA,TA,TA,TA,Gd,TA,Unf,6,2Story
411,NPkVill,TA,TA,TA,Fa,Gd,TA,RFn,7,1Story
412,NPkVill,TA,TA,TA,Fa,TA,TA,Unf,6,2Story
413,NPkVill,TA,TA,TA,TA,Gd,TA,Unf,6,2Story
414,NPkVill,TA,TA,TA,TA,Gd,TA,Unf,6,2Story
415,NPkVill,TA,TA,TA,TA,TA,TA,Unf,6,2Story
416,NPkVill,Gd,TA,TA,TA,Gd,TA,Fin,6,2Story
419,NAmes,Gd,TA,TA,TA,TA,Ex,RFn,5,1Story
420,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
421,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
422,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
423,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
424,NridgHt,Gd,Ex,TA,Ex,Ex,Ex,Fin,9,1Story
425,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
426,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,8,1Story
427,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,RFn,9,2Story
428,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
429,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
430,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
431,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,10,2Story
432,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
433,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,2Story
434,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
435,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
436,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
437,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
438,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
439,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,1Story
440,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
441,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
442,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,2Story
443,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
444,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
445,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
447,NridgHt,Ex,Ex,TA,Ex,Ex,Ex,Fin,10,1Story
448,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
449,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,2Story
450,NridgHt,Gd,Gd,TA,Gd,Gd,Gd,RFn,8,1Story
451,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
452,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
453,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
454,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
455,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
456,NridgHt,Ex,Ex,TA,Ex,Ex,Ex,Fin,10,1Story
457,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,1Story
458,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
459,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
460,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
461,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
462,NridgHt,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
464,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
465,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
466,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
467,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
468,Blmngtn,Gd,Gd,TA,TA,Gd,Ex,Fin,7,1Story
469,Blmngtn,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
470,Blmngtn,Gd,Gd,TA,TA,Gd,Ex,Fin,7,1Story
471,Blmngtn,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
472,Blmngtn,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
473,Blmngtn,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
474,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
475,Gilbert,Gd,Gd,TA,TA,Gd,Ex,RFn,6,2Story
476,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,SLvl
477,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
478,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,8,SLvl
479,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
480,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
481,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
482,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
483,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
484,Gilbert,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,2Story
485,Gilbert,Gd,Gd,TA,TA,Gd,Ex,RFn,6,2Story
487,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,6,2Story
488,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,6,2Story
489,Gilbert,TA,TA,TA,TA,Gd,Ex,RFn,7,SLvl
490,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
491,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,6,2Story
492,Gilbert,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
493,Gilbert,TA,TA,TA,TA,TA,Ex,Fin,7,SLvl
494,NoRidge,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
495,NoRidge,Gd,Ex,TA,TA,Gd,Ex,Fin,8,2Story
496,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
497,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
498,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
499,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
500,NoRidge,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
501,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
502,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
503,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
504,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
505,NoRidge,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
506,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
508,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
509,Somerst,Gd,Ex,TA,Gd,Gd,Ex,Fin,8,1Story
510,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
511,Somerst,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
512,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,2Story
513,Somerst,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
514,Somerst,TA,Gd,TA,TA,Gd,Ex,RFn,7,2Story
520,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,9,1Story
521,Somerst,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
522,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
523,Somerst,Ex,Ex,TA,Ex,Ex,Ex,Fin,10,2Story
524,Somerst,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,2Story
525,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
527,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
528,Somerst,Gd,Ex,TA,Gd,Gd,Ex,RFn,7,1Story
529,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
543,SawyerW,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
544,SawyerW,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
545,SawyerW,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
547,SawyerW,TA,TA,TA,TA,Gd,TA,RFn,6,2Story
560,Sawyer,TA,TA,TA,TA,TA,Ex,RFn,5,1Story
561,Sawyer,TA,TA,TA,Po,TA,Gd,Unf,5,1Story
563,Veenker,Gd,Gd,TA,Gd,Gd,Gd,RFn,8,1Story
564,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Unf,7,2Story
565,Somerst,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
568,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,1Story
569,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,1Story
574,Veenker,Ex,Ex,TA,Gd,Gd,Ex,Fin,8,1Story
575,Greens,Gd,Gd,TA,TA,Gd,TA,Fin,8,1Story
577,Veenker,Gd,TA,TA,Gd,TA,Ex,Unf,8,SLvl
578,Sawyer,TA,TA,TA,TA,TA,Ex,Unf,4,1Story
580,NWAmes,TA,TA,TA,TA,TA,TA,RFn,6,1Story
581,NWAmes,TA,Gd,TA,Gd,TA,Gd,RFn,6,1Story
582,NWAmes,TA,TA,TA,TA,Gd,Ex,RFn,7,2Story
583,NWAmes,TA,Gd,TA,TA,TA,TA,RFn,7,2Story
584,NWAmes,TA,TA,TA,TA,TA,TA,Unf,6,2Story
585,NWAmes,TA,Gd,TA,TA,TA,Gd,RFn,6,2Story
586,NWAmes,TA,TA,TA,Gd,Gd,Fa,RFn,6,SLvl
587,NWAmes,TA,TA,TA,Fa,Gd,TA,RFn,5,1Story
589,NWAmes,TA,Gd,TA,TA,Gd,Ex,RFn,7,2Story
590,NWAmes,TA,TA,TA,TA,Gd,TA,RFn,6,1Story
591,NWAmes,Gd,Gd,TA,TA,Ex,Ex,Fin,7,1Story
596,NWAmes,TA,TA,TA,TA,TA,Gd,RFn,7,2Story
597,NWAmes,TA,TA,TA,Gd,Gd,Fa,RFn,6,SFoyer
598,NWAmes,TA,TA,TA,Gd,TA,TA,Unf,6,1Story
599,NAmes,TA,TA,TA,Po,TA,Gd,Unf,4,1Story
602,NAmes,TA,TA,TA,Gd,TA,TA,RFn,4,1Story
603,NAmes,TA,TA,TA,Gd,TA,Fa,Unf,5,1Story
606,NAmes,TA,Gd,TA,TA,TA,TA,RFn,5,1Story
607,NAmes,TA,TA,TA,Gd,TA,TA,Unf,5,1Story
608,NAmes,TA,TA,TA,Po,TA,Ex,RFn,5,1Story
609,NAmes,TA,TA,TA,TA,TA,TA,Fin,5,2Story
610,NAmes,TA,TA,TA,Fa,TA,TA,RFn,6,SLvl
612,NAmes,TA,Gd,TA,Po,TA,Ex,Fin,6,SLvl
615,BrkSide,TA,Gd,TA,TA,TA,TA,Unf,5,1.5Fin
616,NAmes,TA,TA,TA,TA,TA,Ex,RFn,6,1Story
618,NAmes,TA,TA,TA,Gd,TA,TA,Fin,6,1Story
621,NAmes,Gd,Gd,TA,Gd,TA,Gd,Unf,5,1Story
623,NAmes,TA,TA,TA,TA,TA,Ex,RFn,6,1Story
624,NAmes,TA,TA,TA,Gd,Gd,Gd,RFn,6,1Story
625,NAmes,TA,Gd,TA,Gd,TA,Gd,Unf,6,1Story
626,NAmes,TA,TA,TA,Fa,TA,TA,Unf,7,2Story
